question,option1,option2,option3,option4,answer,category
"In which year was the movie 'Dilwale Dulhania Le Jayenge' released?",1994,1995,1996,1997,1995,Bollywood
"What is the highest team score in ODI cricket?",481,498,444,503,481,Cricket
"Which actor played the role of Circuit in 'Munna Bhai MBBS'?",Arshad Warsi,Boman Irani,Jimmy Sheirgill,Sunil Dutt,Arshad Warsi,Bollywood
"Who was the first Indian to take a hat-trick in Test cricket?",Harbhajan Singh,Anil Kumble,Irfan Pathan,Jasprit Bumrah,Harbhajan Singh,Cricket
"Which film won the Palme d'Or at Cannes Film Festival?",Pather Panchali,Aparajito,Charulata,Apu Sansar,Pather Panchali,Bollywood
"In which format of cricket is the Super Over used?",Test,ODI,T20,All formats,T20,Cricket
"Who composed the music for 'Mughal-E-Azam'?",Naushad,Shankar-Jaikishan,S.D. Burman,O.P. Nayyar,Naushad,Bollywood
"Which Indian fast bowler is known as 'Bengal Tiger'?",Mohammed Shami,Ishant Sharma,Umesh Yadav,Mohammed Siraj,Mohammed Shami,Cricket
"In which movie did Amitabh Bachchan play the role of Don?",Don,Trishul,Kaala Patthar,The Great Gambler,Don,Bollywood
"What is the minimum number of overs that must be bowled in a Test match day?",75,85,90,100,90,Cricket
"Which actress won the National Film Award for 'Queen'?",Kangana Ranaut,Deepika Padukone,Priyanka Chopra,Alia Bhatt,Kangana Ranaut,Bollywood
"Who holds the record for most runs in a single IPL season?",Virat Kohli,David Warner,AB de Villiers,Chris Gayle,Virat Kohli,Cricket
"Which film featured the iconic song 'Pyar Hua Ikrar Hua'?",Shree 420,Awara,Anari,Chori Chori,Shree 420,Bollywood
"What is the maximum width of a cricket bat?",4.25 inches,4.5 inches,5 inches,3.5 inches,4.25 inches,Cricket
"Who directed the movie 'Zindagi Na Milegi Dobara'?",Zoya Akhtar,Farhan Akhtar,Karan Johar,Imtiaz Ali,Zoya Akhtar,Bollywood
"Which bowler has the best bowling figures in an ODI match?",Chaminda Vaas,Anil Kumble,Stuart Binny,Alzarri Joseph,Chaminda Vaas,Cricket
"In which movie did Kamal Haasan play multiple roles?",Chachi 420,Sadma,Pushpak,Mouna Ragam,Chachi 420,Bollywood
"How many players can be on the field for the batting team at one time?",1,2,3,4,2,Cricket
"Which film is based on the life of mathematician Anand Kumar?",Super 30,Mission Mangal,Chhichhore,Dangal,Super 30,Bollywood
"Who was the first Indian cricketer to score a century in T20 Internationals?",Suresh Raina,KL Rahul,Rohit Sharma,Shikhar Dhawan,Suresh Raina,Cricket
"Which actor is known as 'Mr. Perfectionist'?",Shah Rukh Khan,Aamir Khan,Salman Khan,Hrithik Roshan,Aamir Khan,Bollywood
"What is the powerplay period in ODI cricket?",First 10 overs,First 15 overs,First 20 overs,First 25 overs,First 10 overs,Cricket
"Who sang 'Lag Jaa Gale' in the movie 'Woh Kaun Thi'?",Lata Mangeshkar,Asha Bhosle,Geeta Dutt,Suman Kalyanpur,Lata Mangeshkar,Bollywood
"Which Indian cricketer has scored the most runs in IPL history?",Virat Kohli,MS Dhoni,Rohit Sharma,Suresh Raina,Virat Kohli,Cricket
"In which movie did Sridevi make her Bollywood debut?",Solva Sawan,Himmatwala,Chandni,Mr. India,Solva Sawan,Bollywood
"What is the length of a cricket pitch?",20 yards,22 yards,24 yards,25 yards,22 yards,Cricket
"Which film won the first Filmfare Award for Best Film?",Do Bigha Zamin,Shree 420,Devdas,Baiju Bawra,Do Bigha Zamin,Bollywood
"Who was the youngest cricketer to score a Test century?",Mohammad Ashraful,Mushtaq Mohammad,Sachin Tendulkar,Shahid Afridi,Mohammad Ashraful,Cricket
"Which actress played Anarkali in 'Mughal-E-Azam'?",Madhubala,Meena Kumari,Nargis,Nutan,Madhubala,Bollywood
"In which year was the IPL first held?",2007,2008,2009,2010,2008,Cricket
"Who directed 'Pyaasa'?",Guru Dutt,Bimal Roy,Mehboob Khan,V. Shantaram,Guru Dutt,Bollywood
"Which cricketer is known as 'Jammy'?",Rahul Dravid,VVS Laxman,Sourav Ganguly,Anil Kumble,Rahul Dravid,Cricket
"In which movie did Rekha play the role of Umrao Jaan?",Umrao Jaan,Silsila,Khoon Bhari Maang,Ijaazat,Umrao Jaan,Bollywood
"What does the term 'six' mean in cricket?",Ball hit over boundary,Six runs scored,Six balls bowled,Six wickets taken,Ball hit over boundary,Cricket
"Which film featured the song 'Awaara Hoon'?",Awaara,Shree 420,Anari,Boot Polish,Awaara,Bollywood
"Who holds the record for fastest century in ODI cricket?",AB de Villiers,Corey Anderson,Shahid Afridi,Sanath Jayasuriya,AB de Villiers,Cricket
"Which actor played the role of Akbar in 'Mughal-E-Azam'?",Prithviraj Kapoor,Dilip Kumar,Dev Anand,Raj Kapoor,Prithviraj Kapoor,Bollywood
"How many Test matches did Kapil Dev play as captain?",34,39,25,42,34,Cricket
"In which movie did Waheeda Rehman dance to 'Piya Tose Naina Lage Re'?",Guide,Kaagaz Ke Phool,Sahib Bibi Aur Ghulam,Chaudhvin Ka Chand,Guide,Bollywood
"Which bowler took 10 wickets in an innings in Test cricket?",Jim Laker,Anil Kumble,Muttiah Muralitharan,Richard Hadlee,Jim Laker,Cricket
"Who is known as the 'Tragedy King' of Bollywood?",Dilip Kumar,Raj Kapoor,Dev Anand,Guru Dutt,Dilip Kumar,Bollywood
"What is the maximum number of fielders allowed outside the 30-yard circle in ODIs?",4,5,6,7,5,Cricket
"Which film marked the directorial debut of Karan Johar?",Kuch Kuch Hota Hai,Kabhi Khushi Kabhie Gham,My Name is Khan,Student of the Year,Kuch Kuch Hota Hai,Bollywood
"Who was the first Indian woman cricketer to score a Test century?",Shantha Rangaswamy,Diana Edulji,Sandhya Agarwal,Mamatha Maben,Shantha Rangaswamy,Cricket
"In which movie did Amitabh Bachchan play a coolie?",Coolie,Laawaris,Namak Halaal,Shakti,Coolie,Bollywood
"What is the term for a ball that bounces more than twice?",No ball,Wide ball,Dead ball,Bye,No ball,Cricket
"Which actress won the Miss World title before entering Bollywood?",Aishwarya Rai,Sushmita Sen,Priyanka Chopra,Lara Dutta,Aishwarya Rai,Bollywood
"Who was the first cricketer to score 400 runs in a Test innings?",Brian Lara,Matthew Hayden,Don Bradman,Garfield Sobers,Brian Lara,Cricket
"Which film is considered the first Indian talkie?",Alam Ara,Raja Harishchandra,Shirin Farhad,Jamai Shashthi,Alam Ara,Bollywood
"In which stadium did Kapil Dev take his famous catch in 1983 World Cup?",Lord's,The Oval,Old Trafford,Edgbaston,Lord's,Cricket
"Who played the role of Mogambo in 'Mr. India'?",Amrish Puri,Pran,Ajit,Danny Denzongpa,Amrish Puri,Bollywood
"What is the minimum number of players required to start a cricket match?",11,10,9,8,11,Cricket
"In which year was 'Sholay' released?",1973,1975,1977,1979,1975,Bollywood
"Who holds the record for most sixes in international cricket?",Chris Gayle,Shahid Afridi,MS Dhoni,Brendon McCullum,Shahid Afridi,Cricket
"Which actress played the lead role in 'Chandni'?",Sridevi,Madhuri Dixit,Juhi Chawla,Rekha,Sridevi,Bollywood
"What is the height of cricket stumps?",26 inches,28 inches,30 inches,32 inches,28 inches,Cricket
"Who directed the movie 'Anand'?",Hrishikesh Mukherjee,Basu Chatterjee,Gulzar,Sai Paranjpye,Hrishikesh Mukherjee,Bollywood
"Which Indian cricketer scored 319 not out against South Africa?",Virender Sehwag,Sachin Tendulkar,Rahul Dravid,VVS Laxman,Virender Sehwag,Cricket
"In which movie did Rishi Kapoor make his debut as a lead actor?",Bobby,Mera Naam Joker,Laila Majnu,Khel Khel Mein,Bobby,Bollywood
"How many balls are there in an over in cricket?",5,6,7,8,6,Cricket
"Which film won the National Film Award for Best Feature Film in 2019?",Hellaro,The Tashkent Files,Uri,Article 15,Hellaro,Bollywood
"Who was the first Indian to score a double century in ODIs?",Rohit Sharma,Virender Sehwag,Sachin Tendulkar,Virat Kohli,Rohit Sharma,Cricket
"Which actor is known as 'Bhaijaan' in Bollywood?",Shah Rukh Khan,Aamir Khan,Salman Khan,Akshay Kumar,Salman Khan,Bollywood
"What is the weight of a cricket ball?",5.5-5.75 ounces,4.5-4.75 ounces,6.5-6.75 ounces,3.5-3.75 ounces,5.5-5.75 ounces,Cricket
"In which movie did Madhuri Dixit play a classical dancer?",Devdas,Kalank,Dedh Ishqiya,Aaja Nachle,Devdas,Bollywood
"Which cricketer is known as 'Captain Cool'?",Virat Kohli,MS Dhoni,Rohit Sharma,KL Rahul,MS Dhoni,Cricket
"Who composed music for 'Lagaan'?",A.R. Rahman,Ilaiyaraaja,Shankar-Ehsaan-Loy,Vishal-Shekhar,A.R. Rahman,Bollywood
"In which year did India win the T20 World Cup?",2007,2009,2010,2012,2007,Cricket
"Which film featured the song 'Chura Liya Hai Tumne Jo Dil Ko'?",Yaadon Ki Baaraat,Don,Johny Mera Naam,Caravan,Yaadon Ki Baaraat,Bollywood
"Who was the first Indian to take 400 wickets in Test cricket?",Kapil Dev,Anil Kumble,Harbhajan Singh,Zaheer Khan,Kapil Dev,Cricket
"In which movie did Shahrukh Khan play a double role?",Duplicate,Don,Fan,Raees,Duplicate,Bollywood
"What is the maximum score possible from a single ball in cricket?",6,8,10,12,6,Cricket
"Which actress is known as the 'Dhak Dhak Girl'?",Madhuri Dixit,Sridevi,Juhi Chawla,Karisma Kapoor,Madhuri Dixit,Bollywood
"Who holds the record for most catches by a fielder in Test cricket?",Rahul Dravid,Jacques Kallis,Ricky Ponting,Mahela Jayawardene,Rahul Dravid,Cricket
"Which film is based on the novel by Munshi Premchand?",Godan,Shatranj Ke Khilari,Sadgati,Nirmala,Shatranj Ke Khilari,Bollywood
"In which ground did Sachin Tendulkar score his 100th international century?",Wankhede,Eden Gardens,Feroz Shah Kotla,Sher-e-Bangla,Sher-e-Bangla,Cricket
"Who played the role of Basanti in 'Sholay'?",Hema Malini,Jaya Bhaduri,Rekha,Raakhee,Hema Malini,Bollywood
"What does DRS stand for in cricket?",Decision Review System,Direct Result System,Data Recording System,Detailed Review System,Decision Review System,Cricket
"In which year was the movie 'Mother India' released?",1955,1957,1959,1961,1957,Bollywood
"Who was the first Indian cricketer to be knighted?",CK Nayudu,Ranjitsinhji,Duleepsinhji,Vijay Hazare,Ranjitsinhji,Cricket
"Which actor played the role of Vijay in 'Amar Akbar Anthony'?",Amitabh Bachchan,Vinod Khanna,Rishi Kapoor,Shashi Kapoor,Amitabh Bachchan,Bollywood
"How many runs is a boundary in cricket?",3,4,5,6,4,Cricket
"Who directed 'Taare Zameen Par'?",Aamir Khan,Darsheel Safary,Amole Gupte,Tisca Chopra,Aamir Khan,Bollywood
"Which Indian bowler has taken the most wickets in ODIs?",Anil Kumble,Javagal Srinath,Zaheer Khan,Ajit Agarkar,Anil Kumble,Cricket
"In which movie did Amitabh Bachchan play a lawyer?",Pink,Court,Shakti,102 Not Out,Pink,Bollywood
"What is the term for dismissing a batsman without them scoring?",Golden duck,Silver duck,Platinum duck,Diamond duck,Golden duck,Cricket
"Which film won the Academy Award for Best Foreign Language Film?",Lagaan,Taare Zameen Par,3 Idiots,Dangal,None of these,Bollywood
"Who scored the fastest Test century by an Indian?",Kapil Dev,Virender Sehwag,Shardul Thakur,Rishabh Pant,Shardul Thakur,Cricket
"Which actress made her debut with 'Love Story' in 1981?",Vijayashanti,Bhanupriya,Jaya Prada,Sridevi,Vijayashanti,Bollywood
"In cricket, what is a 'yorker'?",A short ball,A ball aimed at the stumps,A ball bowled at the batsman's feet,A spinning ball,A ball bowled at the batsman's feet,Cricket
"Who sang the title song of 'Kabhi Kabhie'?",Mukesh,Kishore Kumar,Mohammed Rafi,Manna Dey,Mukesh,Bollywood
"Which cricketer has scored the most runs in Test cricket for India?",Sachin Tendulkar,Rahul Dravid,Sunil Gavaskar,VVS Laxman,Sachin Tendulkar,Cricket
"In which movie did Aamir Khan play the role of a teacher?",Taare Zameen Par,3 Idiots,Rang De Basanti,Dangal,Taare Zameen Par,Bollywood
"What is the maximum number of runs that can be scored off a no-ball?",5,6,7,Unlimited,Unlimited,Cricket
"Which film featured the song 'Tere Bina Zindagi Se'?",Aandhi,Anand,Abhimaan,Bawarchi,Aandhi,Bollywood
"Who was the captain of India's first Test match?",CK Nayudu,Lala Amarnath,Vijay Hazare,Vinoo Mankad,CK Nayudu,Cricket
"Which actor is known for his role in 'Dangal'?",Aamir Khan,Akshay Kumar,Salman Khan,Shah Rukh Khan,Aamir Khan,Bollywood
"In which format is the Decision Review System (DRS) used?",Only Tests,Only ODIs,Only T20s,All formats,All formats,Cricket
"Who directed the movie 'Tumhari Sulu'?",Suresh Triveni,Vidya Balan,Tanuj Garg,Atul Kulkarni,Suresh Triveni,Bollywood
"Which Indian cricketer is nicknamed 'Turbanator'?",Harbhajan Singh,Yuvraj Singh,Mandeep Singh,Shikhar Dhawan,Harbhajan Singh,Cricket
"In which movie did Preity Zinta make her debut?",Dil Se,Soldier,Kya Kehna,Dil Chahta Hai,Dil Se,Bollywood
"What is the term for a score of 111 in cricket?",Nelson,Century,Double Nelson,Triple Nelson,Nelson,Cricket
"Which film is based on the story of Paan Singh Tomar?",Paan Singh Tomar,Bhaag Milkha Bhaag,Mary Kom,Dangal,Paan Singh Tomar,Bollywood
"Who holds the record for most runs in a single World Cup?",Sachin Tendulkar,Rohit Sharma,Kumar Sangakkara,Martin Guptill,Rohit Sharma,Cricket
"Which actress played the role of Neerja Bhanot?",Sonam Kapoor,Alia Bhatt,Deepika Padukone,Priyanka Chopra,Sonam Kapoor,Bollywood
"In which year was the first Test match played?",1876,1877,1878,1879,1877,Cricket
"Who sang 'Hothon Pe Aisi Baat' in the movie 'Jewel Thief'?",Lata Mangeshkar,Asha Bhosle,Geeta Dutt,Suman Kalyanpur,Lata Mangeshkar,Bollywood
"Which cricketer has the highest strike rate in T20 Internationals?",Andre Russell,AB de Villiers,Glenn Maxwell,Jos Buttler,Andre Russell,Cricket
"In which movie did Kareena Kapoor play the role of Geet?",Jab We Met,3 Idiots,Heroine,Udta Punjab,Jab We Met,Bollywood
"What is the minimum number of overs in a T20 match for a result?",5,10,15,20,5,Cricket
"Which film won the Filmfare Award for Best Film in 2020?",Gully Boy,Article 15,Super 30,War,Gully Boy,Bollywood
"Who was the first Indian cricketer to score 1000 runs in a calendar year in Tests?",Sunil Gavaskar,Gundappa Viswanath,Dilip Vengsarkar,Mohammad Azharuddin,Sunil Gavaskar,Cricket
"Which actor played the role of Rancho in '3 Idiots'?",Aamir Khan,R. Madhavan,Sharman Joshi,Kareena Kapoor,Aamir Khan,Bollywood
"In cricket, what does 'LBW' mean?",Left Ball Wide,Leg Before Wicket,Last Ball Won,Low Ball Wicket,Leg Before Wicket,Cricket
"Who composed music for the film 'Devdas' (2002)?",Ismail Darbar,A.R. Rahman,Ilaiyaraaja,Shankar-Ehsaan-Loy,Ismail Darbar,Bollywood
"Which Indian batsman has the highest average in Test cricket?",Don Bradman,Sachin Tendulkar,Rahul Dravid,Virat Kohli,Don Bradman,Cricket
"In which movie did Juhi Chawla play a double role?",Duplicate,Yes Boss,Darr,Ishq,Duplicate,Bollywood
"What is the powerplay in T20 cricket?",First 4 overs,First 6 overs,First 8 overs,First 10 overs,First 6 overs,Cricket
"Which film featured the song 'Yeh Jo Des Hai Tera'?",Swades,Lagaan,Rang De Basanti,Chak De India,Swades,Bollywood
"Who took the first hat-trick in Cricket World Cup?",Chetan Sharma,Kapil Dev,Jalal-ud-Din,Wasim Akram,Chetan Sharma,Cricket
"Which actress won the National Film Award for 'English Vinglish'?",Sridevi,Vidya Balan,Kangana Ranaut,Tabu,Sridevi,Bollywood
"In which stadium is the Cricket World Cup final usually held?",Lord's,MCG,Eden Gardens,Wankhede,Lord's,Cricket
"Who directed the movie 'Queen'?",Vikas Bahl,Aanand L. Rai,Imtiaz Ali,Zoya Akhtar,Vikas Bahl,Bollywood
"Which cricketer is known as 'Mr. Cricket'?",Michael Hussey,Ricky Ponting,Steve Waugh,Allan Border,Michael Hussey,Cricket
"In which movie did Shah Rukh Khan play a hockey coach?",Chak De India,Swades,My Name is Khan,Dear Zindagi,Chak De India,Bollywood
"What is the term for scoring 50 runs in cricket?",Half century,Quarter century,Semi century,Fifty,Half century,Cricket
"Which film is based on the life of boxer Mary Kom?",Mary Kom,Dangal,Sultan,Mukkabaaz,Mary Kom,Bollywood
"Who holds the record for most dismissals by a wicket-keeper in Tests?",MS Dhoni,Adam Gilchrist,Mark Boucher,Ian Healy,Mark Boucher,Cricket
"Which actor played the role of Bhuvan in 'Lagaan'?",Aamir Khan,Shah Rukh Khan,Hrithik Roshan,Akshay Kumar,Aamir Khan,Bollywood
"In cricket, how many ways can a batsman be dismissed?",8,9,10,11,10,Cricket
"Who sang the song 'Saare Jahan Se Achha'?",Mohammed Rafi,Mukesh,Kishore Kumar,Manna Dey,Mohammed Rafi,Bollywood
"Which Indian cricketer has scored the most centuries in ODIs?",Sachin Tendulkar,Virat Kohli,Rohit Sharma,Sourav Ganguly,Sachin Tendulkar,Cricket
"In which movie did Kangana Ranaut play the role of Rani?",Queen,Tanu Weds Manu,Fashion,Gangster,Queen,Bollywood
"What is the minimum distance for a six in cricket?",65 meters,70 meters,75 meters,80 meters,75 meters,Cricket
"Which film won the Best Picture Oscar nomination in 2022?",RRR,The Kashmir Files,Gangubai Kathiawadi,Brahmastra,RRR,Bollywood
"Who was the first Indian cricketer to play county cricket?",Ranjitsinhji,CK Nayudu,Duleepsinhji,Vijay Hazare,Ranjitsinhji,Cricket
"In which movie did Vidya Balan play Silk Smitha?",The Dirty Picture,Kahaani,Tumhari Sulu,Mission Mangal,The Dirty Picture,Bollywood
"What is the boundary length in T20 cricket?",60-70 meters,65-75 meters,70-80 meters,75-85 meters,65-75 meters,Cricket
"Who directed 'Dangal'?",Nitesh Tiwari,Aamir Khan,Rajkumar Hirani,Ashutosh Gowariker,Nitesh Tiwari,Bollywood
"Which bowler has taken the most wickets in IPL?",Lasith Malinga,Amit Mishra,Piyush Chawla,Harbhajan Singh,Lasith Malinga,Cricket
"In which movie did Akshay Kumar play a boxer?",Bhaag Milkha Bhaag,Sultan,Dangal,None of these,None of these,Bollywood
"What is the term for a ball that passes the batsman without touching the bat or body?",Bye,Leg bye,Wide,No ball,Bye,Cricket
"Which actress played the lead role in 'Pink'?",Tabu,Kirti Kulhari,Andrea Tariang,All of the above,All of the above,Bollywood
"Who holds the record for highest partnership in Test cricket?",Kumar Sangakkara & Mahela Jayawardene,Rahul Dravid & VVS Laxman,Andrew Jones & Martin Crowe,Mahela Jayawardene & Thilan Samaraweera,Kumar Sangakkara & Mahela Jayawardene,Cricket
"Which film featured the song 'Jai Ho'?",Slumdog Millionaire,127 Hours,Life of Pi,The Jungle Book,Slumdog Millionaire,Bollywood
"In which year did India play their first T20 International?",2006,2007,2008,2009,2006,Cricket
"Who played the role of Mary Kom in the biopic?",Priyanka Chopra,Deepika Padukone,Kangana Ranaut,Alia Bhatt,Priyanka Chopra,Bollywood
"What is the maximum number of bouncers allowed per over in ODI?",1,2,3,4,2,Cricket
"Which film is based on the 26/11 Mumbai attacks?",Hotel Mumbai,The Attacks of 26/11,Mumbai Meri Jaan,Black Friday,The Attacks of 26/11,Bollywood
"Who was the youngest player to debut for India in Test cricket recently?",Washington Sundar,Mohammed Siraj,Prithvi Shaw,Shubman Gill,Prithvi Shaw,Cricket
"In which movie did Ranbir Kapoor play a deaf and mute character?",Barfi,Rockstar,Tamasha,Sanju,Barfi,Bollywood
"What is the term for the area behind the wicket-keeper?",Slips,Fine leg,Third man,Long stop,Slips,Cricket
"Which actress made her comeback with 'English Vinglish'?",Sridevi,Madhuri Dixit,Juhi Chawla,Karisma Kapoor,Sridevi,Bollywood
"Who has hit the most sixes in IPL history?",Chris Gayle,MS Dhoni,AB de Villiers,Rohit Sharma,Chris Gayle,Cricket
"In which movie did Deepika Padukone play Mastani?",Bajirao Mastani,Padmaavat,Ram-Leela,Yeh Jawaani Hai Deewani,Bajirao Mastani,Bollywood
"What is the Duck worth Lewis method used for?",Rain delays,Bad light,Pitch conditions,Player injuries,Rain delays,Cricket
"Who composed music for 'Rockstar'?",A.R. Rahman,Ilaiyaraaja,Shankar-Ehsaan-Loy,Amit Trivedi,A.R. Rahman,Bollywood
"Which Indian cricketer has the most Man of the Match awards in ODIs?",Sachin Tendulkar,MS Dhoni,Virat Kohli,Rohit Sharma,Sachin Tendulkar,Cricket
"In which movie did Alia Bhatt make her debut?",Student of the Year,Highway,2 States,Humpty Sharma Ki Dulhania,Student of the Year,Bollywood
"What is the maximum number of fielders allowed on the leg side?",4,5,6,7,5,Cricket
"Which film won the National Film Award for Best Popular Film in 2018?",Baahubali 2,Dangal,Hindi Medium,Toilet: Ek Prem Katha,Baahubali 2,Bollywood
"Who was the first Indian cricketer to score 5000 runs in ODIs?",Kapil Dev,Sunil Gavaskar,Mohammed Azharuddin,Dilip Vengsarkar,Kapil Dev,Cricket
"Which actor played the role of Milkha Singh?",Farhan Akhtar,Ranveer Singh,Hrithik Roshan,John Abraham,Farhan Akhtar,Bollywood
"In cricket, what is a 'googly'?",A type of spin bowl,A fast ball,A slow ball,A bouncer,A type of spin bowl,Cricket
"Who sang 'Tujhe Dekha To Yeh Jaana Sanam'?",Kumar Sanu,Udit Narayan,Abhijeet,Sonu Nigam,Kumar Sanu,Bollywood
"Which cricketer is known as 'Dada'?",Sourav Ganguly,Rahul Dravid,VVS Laxman,Anil Kumble,Sourav Ganguly,Cricket
"In which movie did Ranveer Singh play Alauddin Khilji?",Padmaavat,Bajirao Mastani,Ram-Leela,Gully Boy,Padmaavat,Bollywood
"What is the term for a delivery that swings in the air?",Swing bowling,Seam bowling,Spin bowling,Fast bowling,Swing bowling,Cricket
"Which film featured the song 'Munni Badnaam Hui'?",Dabangg,Ready,Bodyguard,Kick,Dabangg,Bollywood
"Who holds the record for most catches in IPL by a fielder?",Suresh Raina,Kieron Pollard,AB de Villiers,David Miller,Suresh Raina,Cricket
"Which actress played the role of a journalist in 'No One Killed Jessica'?",Rani Mukerji,Vidya Balan,Both A and B,Neither A nor B,Both A and B,Bollywood
"In which ground did Kapil Dev complete 400 Test wickets?",Ahmedabad,Kanpur,Madras,Calcutta,Ahmedabad,Cricket
"Who directed the movie 'Gully Boy'?",Zoya Akhtar,Karan Johar,Anurag Kashyap,Imtiaz Ali,Zoya Akhtar,Bollywood
"What is the maximum speed recorded for a cricket ball?",161.3 km/h,175.6 km/h,185.2 km/h,190.4 km/h,161.3 km/h,Cricket
"In which movie did John Abraham play a RAW agent?",Romeo Akbar Walter,Parmanu,Batla House,Satyameva Jayate,Romeo Akbar Walter,Bollywood
"Who was the first Indian to score a Test triple century?",Virender Sehwag,Sachin Tendulkar,Rahul Dravid,Sunil Gavaskar,Virender Sehwag,Cricket
"Which film is based on the book 'The Mahabharata: A Modern Rendering'?",None,Mahabharat,Kurukshetra,None of these,None of these,Bollywood
"In cricket, what does 'stumped' mean?",Run out by wicket-keeper,Bowled out,Caught by wicket-keeper,Hit wicket,Run out by wicket-keeper,Cricket
"Who sang 'Pehla Nasha' from the movie 'Jo Jeeta Wohi Sikandar'?",Udit Narayan,Kumar Sanu,Abhijeet,Sonu Nigam,Udit Narayan,Bollywood
"Which Indian cricketer has scored the most runs in a single IPL season?",Virat Kohli,David Warner,KL Rahul,Chris Gayle,Virat Kohli,Cricket
"In which movie did Hrithik Roshan play a mentally challenged person?",Koi... Mil Gaya,Krrish,Super 30,Guzaarish,Koi... Mil Gaya,Bollywood
"What is the term for the captain choosing to bat or bowl first?",Toss,Choice,Decision,Call,Toss,Cricket
